,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,631757291,False,0.647469997406006,6580,1100,7730,0.0204185451905704,0.00926000066101551,4.89541292190552,528.662292480469,0.00267035636875,100141495,577,63260950528.0,235408496.0,1152421760.0,2179882.75,0.2883754076
1,3,631758799,False,0.48764106631279,7530,2750,9470,0.00827325944594546,0.0322190384019114,11.5755182753338,359.275721731256,0.00108198458046875,100141495,243,4219137152.0,27414000.0,317331258.0,883252.71875,0.03358215
2,3,631758948,False,0.187039509415627,10470,3950,6560,5.99818730877506e-05,0.000750229794974961,0.242393459086063,323.092285469884,7.84448526153564e-06,100141495,460,734620608.0,8535600.0,2068973.609375,6403.66143798828,0.01045611
3,1,631757953,False,0.485355913639069,11720,7120,4480,0.00165103062231748,0.000553484482225031,0.109145514667034,197.197067260742,0.0002159233234375,100141495,978,14285960192.0,318462304.0,34758732.0,176263.9375,0.3901163224
4,1,631758309,False,0.0915266498923302,10410,3830,4820,7.4819427246238e-06,0.000187162426300347,0.0480218678712845,256.578582763672,9.78495442199707e-07,100141495,460,377489216.0,4267800.0,204947.734375,798.771789550781,0.005228055
5,1,631758088,False,0.237739115953445,10710,1550,4770,0.000143256332389446,3.01682357530808e-05,0.0194250736385584,643.891540527344,1.87351966552734e-05,100141495,811,125647314944.0,506958304.0,9847702.0,15294.0380859375,0.6210239224
6,3,631758695,False,0.314842313528061,10270,6840,6690,0.00111649091279231,0.000678437807767644,0.145494372478095,214.454988817376,0.000146015722070312,100141495,105,10276907520.0,175692608.0,25562285.75,119196.5078125,0.2152234448
7,3,631759230,False,0.472618609666824,7210,2980,9410,0.0251007946067059,0.0143124771006514,3.88316825506696,271.313499945459,0.0032827053109375,100141495,893,22738493440.0,187232400.0,727054912.0,2679759.4375,0.22935969
8,1,631758213,False,0.0950786098837852,6170,7070,3890,1.49228290517934e-05,1.10816212182584e-05,0.00155856843770938,140.644442452286,1.95162149047852e-06,100141495,619,18822929152.0,143766004.0,224069.15625,1593.16040039062,0.1761133549
9,2,631757791,False,0.187314823269844,9020,5550,5780,5.21850537386097e-05,0.000180817994987592,0.0386709198355675,213.866546630859,6.8248099609375e-06,100141495,607344838,5132410880.0,30811500.0,1191509.0,5571.2734375,0.0377440875
10,1,631758034,False,0.143489331007004,7480,4920,1090,4.45642445271556e-05,3.1739105907036e-05,0.00708547793328762,223.241256713867,5.82815343017578e-06,100141495,888,19150809088.0,149899504.0,1062109.625,4757.67626953125,0.1836268924
11,1,631757926,False,0.0495441518723965,6960,3180,3320,1.4138413688262e-05,6.40710093956455e-06,0.00117896574243144,184.009234996002,1.84903491821289e-06,100141495,1014,30543066112.0,235584904.0,277746.53125,1509.41625976562,0.2885915074
12,3,631758891,False,0.447384297847748,6720,5310,6160,0.00403525805543422,0.00156256864568916,0.560622968824356,358.782937550304,0.000527734809082031,100141495,366,42473545728.0,275702400.0,154565098.0,430803.92578125,0.33773544
13,2,631757677,False,0.192885488271713,7960,1490,9700,0.000787628764417025,0.00158501381520182,0.421366631984711,265.844146728516,0.000103006823828125,100141495,1074,8963133440.0,53051400.0,22354090.0,84087.203125,0.064987965
14,1,631758370,False,0.635228931903839,6410,1000,4070,0.336143241172868,0.0568939065333617,23.3111555714728,409.730267999851,0.04396112634375,100141495,361,136878936064.0,630764100.0,14703840064.0,35886633.75,0.7726860225
15,2,631757441,False,0.997020900249481,6530,1100,6820,0.119151570069238,0.0385521166026592,35.6611175537109,925.010559082031,0.015582753375,100141495,774,75124441088.0,329958912.0,11766703104.0,12720615.0,0.4041996672
16,2,631757745,False,0.80685031414032,9490,7080,6240,0.05485738265174,0.00783433586257907,3.83821520737748,489.922218641509,0.00717429962662964,100141495,933,29491299392.0,747551704.0,2869264318.59375,5856571.1237793,0.9157508374
17,2,631757011,False,0.715122818946838,7540,2560,9590,0.0816089877721879,0.104917526245117,59.8435325622559,570.386474609375,0.010672899475,100141495,156,21931603968.0,83042096.0,4969532416.0,8712571.0,0.1017265676
18,2,631757418,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,100141495,737,5536973600.0,125076596.0,0.0,0.0,0.1532188301
19,1,631758278,False,0.190930053591728,9890,3920,2760,0.000462340712249053,8.80247971508652e-05,0.0140316123142838,159.405227661133,6.046534921875e-05,100141495,526,54662488064.0,560745024.0,7868157.0,49359.46875,0.6869126544
20,3,631759373,False,0.0122231114655733,8980,4140,5560,2.05744264074832e-07,0.00610145727793376,0.517578904893663,84.8287353851538,2.69074265956879e-08,100141495,1051,56123.8671875,3600.0,1863.28405761719,21.9652462005615,4.41e-06
21,2,631756947,False,0.336050510406494,8500,3850,5950,0.000886254310432148,0.00141020538285375,0.376194387674332,266.765686035156,0.000115905164648437,100141495,62,1170134016.0,67094100.0,25240424.0,94616.4609375,0.0821902725
22,1,631758475,False,0.300388872623444,12190,5040,4740,0.00350727544145599,0.00111082487273961,0.325628280639648,293.140960693359,0.00045868475078125,100141495,225,29560565760.0,337079712.0,109762688.0,374436.53125,0.4129226472
