,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,641160398,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,196,16798034944.0,99129600.0,0.0,0.0,0.12143376
1,3,641164077,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,1060,512387808.0,6237000.0,0.0,0.0,0.007640325
2,1,641161120,False,0.452646970748901,3450,5960,5630,0.00188510357569691,0.000512489525135607,0.268574386835098,524.058288574219,0.000202736983203125,566244185,605,93713211392.0,322932608.0,86731424.0,165499.578125,0.3955924448
3,3,641163605,False,0.143264383077621,10590,7060,4060,0.000138584290959329,2.23135174715487e-05,0.00594429118953538,266.398661578784,1.49043062835693e-05,566244185,863,52978966144.0,545265024.0,3241214.078125,12166.7806396484,0.6679496544
4,3,641162184,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,88,254057603072.0,639534592.0,0.0,0.0,0.7834298752
5,2,641159868,False,0.183707430958748,8740,990,8250,0.00010773130994893,2.05325941351475e-05,0.0204210113734007,994.565551757812,1.158616484375e-05,566244185,721,193242660864.0,460638016.0,9406694.0,9458.09375,0.5642815696
6,1,641161507,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,280,1973845760.0,7004700.0,0.0,0.0,0.0085807575
7,3,641162247,False,0.135365560650826,3820,3170,4810,0.000191933603689329,0.000876206169856795,0.530794646199925,605.787387101687,2.06418577148437e-05,566244185,132,4385740544.0,19231200.0,10207818.0,16850.49609375,0.02355822
8,3,641162092,False,0.179295733571053,9480,1760,5280,6.83505235708685e-05,3.19046653858624e-06,0.00242476980321597,760.004774815922,7.35088465576172e-06,566244185,17,826712850432.0,1880829056.0,4560577.5,6000.72216796875,2.3040155936
9,1,641161408,False,1.63346721819835e-05,6150,7130,5430,3.95070392593029e-10,3.07962255696737e-09,1.10286111976166e-06,358.115661621094,4.24885828979313e-11,566244185,349,1924461696.0,11262600.0,12.4210834503174,0.0346845574676991,0.013796685
10,1,641161817,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,136,379303952384.0,1249865088.0,0.0,0.0,1.5310847328
11,2,641160318,False,0.163380160927773,8980,3350,8070,9.38377679674778e-05,0.000105768143839668,0.0513144731521606,485.160003662109,1.00919579345703e-05,566244185,1072,16625219584.0,77890496.0,3996909.75,8238.3330078125,0.0954158576
12,1,641160868,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,763,931497088.0,3898800.0,0.0,0.0,0.00477603
13,2,641159395,False,0.207081481814384,7740,1340,9380,0.000369206160480868,4.75124543299899e-05,0.0385054722428322,810.429077148438,3.97069657714844e-05,566244185,201,284049080320.0,682217984.0,26269126.0,32413.849609375,0.8357170304
14,1,641161522,False,0.00196455465629697,4730,6630,5650,9.83557965851209e-08,1.05908121383891e-07,2.55482755164849e-05,241.230560302734,1.05778577566147e-08,566244185,272,24217477120.0,81532800.0,2083.0224609375,8.63498592376709,0.09987768
15,2,641160279,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,1043,31354654720.0,226609200.0,0.0,0.0,0.27759627
16,3,641162978,False,0.517171561717987,6660,1510,4120,0.0114752346403452,0.0224668480512341,17.4106427346482,774.948167849109,0.00123412553162842,566244185,510,10469738496.0,44841600.0,780721077.25,1007449.41357422,0.05493096
17,2,641159362,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,606826647,27662925824.0,95696096.0,0.0,0.0,0.1172277176
18,2,641159903,False,0.188158988952637,5430,7250,8040,0.000496124815252727,2.531383142923e-05,0.0117684779688716,464.903076171875,5.33566694335937e-05,566244185,754,598644686848.0,1720658688.0,20249534.0,43556.46484375,2.1078068928
19,3,641163324,False,0.310934901237488,3240,4160,4580,0.00344395676133171,0.000123143855590788,0.105474308803089,856.512964427425,0.000370386759155273,566244185,723,975684311296.0,2455311608.0,258972294.75,302356.538085938,3.0077567198
20,2,641160350,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,1096,50848907264.0,109921504.0,0.0,0.0,0.1346538424
21,2,641159645,False,0.125255912542343,7010,4450,9620,0.000205031809955437,4.60053997812793e-05,0.0241703633219004,525.381042480469,2.20505287597656e-05,566244185,579,80811778048.0,391267808.0,9457085.0,18000.431640625,0.4793030648
22,3,641162106,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,576073704,76532883456.0,192828608.0,0.0,0.0,0.2362150448
23,3,641162186,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,91,290136457216.0,773886592.0,0.0,0.0,0.9480110752
24,3,641162298,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,164,94131312.0,388800.0,0.0,0.0,0.00047628
25,2,641160568,False,0.560743093490601,6850,1850,6100,0.0721645230517941,0.00462966877967119,2.69163227081299,581.387634277344,0.00776106835,566244185,484682516,178577997824.0,1368470656.0,3683419904.0,6335566.0,1.6763765536
26,3,641163267,False,0.0644799247384071,6690,7020,5300,6.82674149318676e-05,1.21199624926448e-05,0.00671383914514184,553.948838473405,7.34194658203125e-06,566244185,693,163385810944.0,494508608.0,3320051.25,5993.42578125,0.6057730448
27,2,641160567,False,0.330155730247498,7470,1250,7290,0.00224798587119384,0.000408672145567834,0.199877619743347,489.090393066406,0.000241763837109375,566244185,484682512,74154131456.0,482925600.0,96526016.0,197358.234375,0.59158386
28,1,641160582,False,0.451881647109985,8530,1900,1580,0.0257854834656673,0.00717029999941587,5.34208011627197,745.02880859375,0.00277314795625,566244185,1127,71539834880.0,315718208.0,1686592000.0,2263794.25,0.3867548048
29,1,641161405,False,0.00571032799780369,5680,4380,4400,8.67689559736617e-08,1.26264501076889e-08,5.23467542734579e-06,414.580108642578,9.33172935247421e-09,566244185,351,212722024448.0,603315904.0,3158.16284179688,7.61773824691772,0.7390619824
30,1,641160752,False,0.438444584608078,6440,890,2960,0.00933549594442807,0.0109559744596481,9.52250480651855,869.160888671875,0.0010040033390625,566244185,182305693,16351529984.0,74808000.0,712359552.0,819594.5625,0.0916398
31,2,641160211,False,0.210689291357994,7820,4270,10230,0.000687408900150845,0.000253134145168588,0.20838163793087,823.206359863281,7.39286734375e-05,566244185,988,72107958272.0,238410896.0,49680452.0,60349.9375,0.2920533476
32,2,641159420,False,0.508898794651031,11130,7210,5730,0.00100898806523735,0.00295508303679526,1.29692268371582,438.878601074219,0.000108513505078125,566244185,230,2296883968.0,29976300.0,38876944.0,88582.453125,0.0367209675
33,2,641160399,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,599626923,881817920.0,6515100.0,0.0,0.0,0.0079809975
34,1,641160761,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,914,2239283712.0,5249700.0,0.0,0.0,0.0064308825
35,3,641163422,True,0.909986317157745,7350,1280,4070,0.000887936859244451,0.805411498435304,4244.07172626663,5269.44516500163,9.54948271484375e-05,566244185,776,441785216.0,96788.984375,410779392.0,77954.9609375,0.000118566505859375
36,3,641163599,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,859,8102906368.0,25117200.0,0.0,0.0,0.03076857
37,1,641160623,False,0.254020988941193,8950,3660,3130,0.0001817331375462,0.00020483837579377,0.0982361435890198,479.578796386719,1.95448295410156e-05,566244185,1072,24298991616.0,77890496.0,7651662.0,15954.962890625,0.0954158576
38,2,641159431,False,0.105836719274521,5110,2910,6280,5.24259645160458e-05,3.35045712584589e-06,0.00216018157095994,644.742341066241,5.63824822387695e-06,566244185,242,418760499200.0,1373738400.0,2967524.375,4602.65161132812,1.68282954
39,1,641160619,False,0.10591708868742,8920,3820,3120,7.50958327245789e-05,5.29977987753227e-05,0.0156427323818207,295.158172607422,8.07632152099609e-06,566244185,1079,46643752960.0,124399800.0,1945952.875,6592.91552734375,0.152389755
40,1,641160867,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,765,5635174400.0,25673400.0,0.0,0.0,0.031449915
41,1,641160602,False,0.737693190574646,7220,1400,4180,0.0848493212128636,0.00390385039819085,2.71795177669099,696.223343484311,0.00912527864850577,566244185,1099,279014102016.0,1908169192.0,5186311845.62341,7449207.06000471,2.3375072602
42,1,641161478,False,0.309252977371216,4100,2360,5480,0.00594788926524468,0.00231031584553421,2.31483912467957,1001.95788574219,0.0006396768546875,566244185,296,92107464704.0,226023296.0,523207552.0,522185.1875,0.2768785376
43,2,641160175,False,0.0145041961222887,11800,4460,6790,1.30507594882069e-06,1.67609698564775e-07,7.81420094426721e-05,466.214141845703,1.4035682926178e-07,566244185,968,319320391680.0,683594112.0,53417.41796875,114.577003479004,0.8374027872
44,2,641160507,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,607344830,2768308224.0,9781200.0,0.0,0.0,0.01198197
45,1,641160557,False,0.940040826797485,7350,1150,4440,1.83233270382181,0.0340394641944121,41.8301564695116,1228.87235329569,0.197061641273437,566244185,254,1907611151908.19,4725886548.0,197684573760.0,160866645.9375,5.7892110213
46,1,641160786,False,0.522713661193848,6010,1740,4730,0.00734968874709805,0.00780191039666533,5.34644031524658,685.273193359375,0.000790435996875,566244185,882,17451278336.0,82704600.0,442175200.0,645253.875,0.101313135
47,1,641160836,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,811,267682349056.0,506958304.0,0.0,0.0,0.6210239224
48,3,641162351,False,0.0458296798169613,11210,6870,5680,1.39287545606317e-05,1.16197844602139e-05,0.00659469137095824,567.539905196901,1.49799391174316e-06,566244185,206,29555419136.0,105238800.0,694017.40625,1222.85217285156,0.12891753
49,2,641160477,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,549009203,9431560192.0,27975600.0,0.0,0.0,0.03427011
50,3,641163425,False,0.992233395576477,7410,1330,4510,0.89789326716675,0.0112378660174946,10.6515630768099,947.827911476079,0.096565607625293,566244185,776,1047630017664.0,7014593992.0,74716390364.0,78829067.4492188,8.5928776402
51,1,641160739,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,939,2478675200.0,9543600.0,0.0,0.0,0.01169091
52,3,641162902,False,0.371286422014236,6490,1940,4040,0.00215010381649761,0.000440692359915881,0.26993292876745,612.520100913424,0.000231236928808594,566244185,423,219974615040.0,428336992.0,115622258.75,188764.83984375,0.5247128152
53,3,641163428,False,0.593333661556244,7940,1210,3250,0.0610884101836543,0.00383790102676372,4.13416107307935,1077.19324814519,0.00656986711445312,566244185,778,591026946048.0,1397419264.0,5777156324.0,5363156.828125,1.7118385984
54,2,641159883,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,732,11024965632.0,34631100.0,0.0,0.0,0.0424230975
55,1,641160801,False,0.284032166004181,6720,4120,1620,0.00151683968019761,0.000553392397705466,0.428565889596939,774.433959960938,0.000163131355078125,566244185,857,77485457408.0,240640192.0,103130176.0,133168.453125,0.2947842352
56,3,641164169,False,0.698353469371796,6140,4450,4760,0.00235659263885861,0.00138189693808577,2.11542474859201,1530.81224097821,0.0002534441546875,566244185,1104,65336639488.0,149716800.0,316714624.0,206893.1875,0.18340308
57,2,641159716,False,0.356833577156067,6700,480,6990,0.00304820850576837,0.00140346155967563,1.06930887699127,761.908264160156,0.00032782527421875,566244185,670,64154427392.0,190680304.0,203896144.0,267612.46875,0.2335833724
58,1,641161853,False,0.466141700744629,9120,2300,2340,0.0105444348856845,0.0537965707480907,44.352108001709,824.441162109375,0.001134020934375,566244185,121,6087166464.0,17208000.0,763211072.0,925731.375,0.0210798
59,2,641159539,False,0.206336379051208,6680,1640,6730,0.00112532596635351,2.15418040170334e-05,0.0105922762304544,491.707946777344,0.000121025281835937,566244185,382,1799727087616.0,4586252288.0,48578852.0,98796.1484375,5.6181590528
60,2,641159715,False,0.573442995548248,7450,610,7510,0.153669817184193,0.00222600554061588,1.98307334575707,890.866311684207,0.0165267073634304,566244185,669,1968896151040.0,6060717028.0,12018846394.4028,13491189.684433,7.4243783593
61,2,641160111,False,0.232194989919662,10100,3970,7770,0.000890904498944152,2.5842701877066e-05,0.0109216279279701,422.61942965269,9.58139875e-05,566244185,928,1442783297536.0,3026599168.0,33055390.0,78215.5,3.7075839808
62,3,641163921,False,0.31718698143959,4450,5150,1780,0.00221163310800565,0.000469465049033226,0.178865671362909,380.998908718016,0.000237854211328125,566244185,996,110350733312.0,413591392.0,73977302.0,194166.703125,0.5066494552
63,2,641159416,False,0.165581047534943,11940,4610,7030,0.000203786253780538,5.30767028976697e-05,0.0246229730546474,463.912994384766,2.19165730957031e-05,566244185,225,95246794752.0,337079712.0,8299904.5,17891.080078125,0.4129226472
64,1,641161166,False,0.742065966129303,6220,4990,5470,0.000876031882835307,0.000144099969008436,0.264153581794011,1833.1272630499,9.42144842360318e-05,566244185,571,196276199424.0,533725188.0,140985420.103882,76909.7830498219,0.6538133553
65,2,641160289,False,0.0403944402933121,10920,5790,8810,2.72423311111206e-05,3.97443682231824e-06,0.00110502005554736,278.031860351562,2.92982735595703e-06,566244185,1049,186744799232.0,601769728.0,664967.625,2391.69580078125,0.7371679168
66,3,641163767,False,0.177195936441422,4870,5440,2680,0.000551557117849666,1.92670781790831e-05,0.0118745822665833,616.314635577421,5.93182398986816e-05,566244185,942,745341263872.0,2513253568.0,29843836.25,48423.0529785156,3.0787356208
67,2,641159901,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,753,4463134208.0,14984100.0,0.0,0.0,0.0183555225
68,1,641160632,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,1060,241645280.0,3118500.0,0.0,0.0,0.0038201625
69,3,641162544,False,0.781337797641754,7940,3520,3970,0.0011587907335354,0.000624891788178705,0.684023272327012,1094.62675821145,0.000124624312695312,566244185,325,42808262656.0,162802800.0,111360904.0,101734.1328125,0.19943343
70,3,641163568,False,0.613721907138824,5250,1980,4580,0.0753280722662449,0.00255459770853456,2.58430939888209,1011.63067290332,0.00810129815605469,566244185,844,929000554496.0,2588785152.0,6690221800.0,6613304.6171875,3.1712618112
71,2,641160465,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,298,56483225600.0,163924192.0,0.0,0.0,0.2008071352
72,1,641161097,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,621,49348317184.0,159641104.0,0.0,0.0,0.1955603524
73,3,641164014,False,0.0811499133706093,12840,4660,7250,5.27703762154667e-05,2.05400051624751e-06,0.000844370918261963,411.086030204394,5.67528862304687e-06,566244185,1033,995189030912.0,2255544064.0,1904515.8125,4632.888671875,2.7630414784
74,1,641161518,False,0.650113046169281,7960,730,4990,0.161740601924001,0.0417011417448521,37.9257621765137,909.4658203125,0.017394694975,566244185,274,117099978752.0,340512288.0,12914188288.0,14199751.0,0.4171275528
75,3,641162367,False,0.13554048538208,7690,3270,4480,0.000316354741801826,2.41843632803197e-05,0.0139978697083616,578.798356033319,3.40229612854004e-05,566244185,215,417170112512.0,1148421632.0,16075456.375,27773.8459472656,1.4068164992
76,3,641163066,False,0.598786771297455,9050,480,3800,0.120669347141404,0.00931676093318036,8.77647147371777,942.008873755853,0.0129776102066406,566244185,593,239855493120.0,1137086976.0,9979611408.0,10593967.515625,1.3929315456
77,3,641163118,False,0.33310404419899,6730,1330,3500,0.00570722514216627,0.000702676768473975,0.765672920379635,1089.65167874053,0.000613794182293701,566244185,625,350185717760.0,713068224.0,545977029.5,501056.475341797,0.8735085744
78,3,641163351,False,0.247783914208412,8480,2450,930,0.00200599351433409,0.000521832709787607,0.355897884452699,682.015285315392,0.000215738317333984,566244185,735,73336299520.0,337489216.0,120111698.0,176112.912109375,0.4134242896
79,1,641160423,False,0.274099856615067,7940,2100,4420,0.000733663910568744,0.000107777625089511,0.107490390539169,997.334899902344,7.89032548828125e-05,566244185,484682470,242970345472.0,597627008.0,64239160.0,64410.8203125,0.7320930848
80,1,641160793,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,872,19117633536.0,68801400.0,0.0,0.0,0.084281715
81,1,641161156,False,0.309876084327698,6610,4320,1780,0.00289810016586492,0.00065028085373342,0.479828983545303,737.879638671875,0.000311681592578125,566244185,579,90207125504.0,391267808.0,187741632.0,254433.953125,0.4793030648
82,1,641161620,False,0.478986293077469,9880,5650,3230,0.00627068346383923,0.000527767173480242,0.19390133023262,367.399353027344,0.000674392359375,566244185,229,13987820032.0,1043119744.0,202262304.0,550524.375,1.2778216864
83,2,641159580,False,0.389691442251205,4780,2700,9770,0.0292727727467918,0.000171397561832079,0.110567103402329,645.091459997861,0.00314819499214053,566244185,453,6151260585984.0,14994117000.0,1657856084.76562,2569955.09562492,18.367793325
84,2,641160172,False,0.152163952589035,5480,6090,8470,4.53264800802492e-05,9.09101618162822e-06,0.00537893455475569,591.675842285156,4.87472091674805e-06,566244185,966,120741740544.0,437724896.0,2354493.5,3979.36401367188,0.5362129976
85,2,641160396,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566244185,1139,10730217472.0,26278200.0,0.0,0.0,0.032190795
