,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,632017417,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,988,36383248384.0,238410896.0,0.0,0.0,0.2920533476
1,1,632019720,False,0.0730583444237709,6470,4780,5490,0.000112296331984306,2.41476900555426e-05,0.00944611802697182,391.181030273438,1.20726538848877e-06,293821389,189,6154988032.0,40812300.0,385517.8125,985.522766113281,0.0499950675
2,2,632016237,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,451,26798266368.0,188746208.0,0.0,0.0,0.2312141048
3,2,632016884,False,0.290606886148453,8980,6530,8900,0.00840366456754328,5.01942410295248e-05,0.00935914982722111,186.458638187516,9.03453673828125e-05,293821389,631,135208050688.0,1469318368.0,13751570.75,73751.3203125,1.7999150008
4,1,632020015,False,0.0700526610016823,8740,2450,3900,0.000377709807178723,3.61533352588594e-06,0.000785651558544487,217.310943603516,4.06064890136719e-06,293821389,10,236612878336.0,916876800.0,720345.6875,3314.8154296875,1.12317408
5,3,632021275,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,437,88520892416.0,1663547392.0,0.0,0.0,2.0378455552
6,3,632022435,False,0.22620852291584,6500,4530,6120,0.000493449742519423,2.02078553617742e-05,0.00679562033832818,336.286073740561,5.30493547363281e-06,293821389,907,32958158848.0,214300800.0,1456306.875,4330.5595703125,0.26251848
7,1,632018706,False,0.0333204939961433,8290,2220,4450,0.000122868720829462,1.16616593004437e-05,0.00236291601322591,202.622619628906,1.32092608337402e-06,293821389,628,17933340672.0,92466000.0,218489.390625,1078.30700683594,0.11327085
8,3,632021701,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,692,20326890496.0,151536608.0,0.0,0.0,0.1856323448
9,3,632022022,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,846,49256470528.0,301485600.0,0.0,0.0,0.36931986
10,3,632021926,False,0.485274851322174,8820,410,7410,0.0303601183473671,0.00155283478715464,0.519829872416814,334.76186695259,0.000326392852050781,293821389,805,20252292608.0,171584992.0,89195004.5,266443.14453125,0.2101916152
11,3,632020200,False,0.216443970799446,6780,2630,8380,0.00984525692594643,6.63906792390597e-05,0.0271540134213651,409.003398256989,0.000105843509912109,293821389,108,37230071808.0,1301430656.0,35339065.5,86402.865234375,1.5942525536
12,1,632017574,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,607344842,1367656576.0,11298600.0,0.0,0.0,0.013840785
13,2,632017232,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,839,9797419008.0,78387296.0,0.0,0.0,0.0960244376
14,3,632021002,False,0.0395589917898178,4320,3040,5480,4.54808662316435e-05,8.8297136317453e-07,0.000112326562664917,127.214275965951,4.88951639556885e-07,293821389,296,79498559488.0,452046592.0,50776.83984375,399.144195556641,0.5537570752
15,1,632019813,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,136,54250287104.0,1249744256.0,0.0,0.0,1.5309367136
16,2,632015158,False,0.228384986519814,5610,2290,5730,0.00558846330077123,0.000867122085765004,0.167401418089867,193.05403137207,6.0079952734375e-05,293821389,19,6008432640.0,56560500.0,9468308.0,49044.859375,0.0692866125
17,2,632017090,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,749,14975621120.0,192878096.0,0.0,0.0,0.2362756676
18,2,632017153,False,0.157874032855034,8240,2080,9540,0.00118755908933696,0.000127710387459956,0.0529471598565578,414.587738037109,1.27671043212891e-05,293821389,791,18377062400.0,81607504.0,4320885.5,10422.1259765625,0.0999691924
19,3,632020816,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,226,33498262528.0,503978400.0,0.0,0.0,0.61737354
20,2,632017139,False,0.020445317029953,7870,6400,7680,4.84950580281627e-05,9.78392677097872e-07,0.000198585272300988,202.970932006836,5.21356343841553e-07,293821389,780,45761499136.0,434996096.0,86383.8203125,425.597015380859,0.5328702176
21,3,632020039,False,0.679010272026062,6490,3630,8390,0.22709803272156,0.00105588136531369,0.227449636571735,215.412113560846,0.002441465271875,293821389,6,12581960192.0,1887553792.0,429323424.0,1993032.875,2.3122533952
22,2,632015174,False,0.647053956985474,7410,950,7350,0.388963269667348,0.00310605667391616,1.71955976950813,553.615065671063,0.00418163162202339,293821389,22,200638312700.5,1099006616.0,1889807563.29688,3413576.83430481,1.3462831046
23,2,632016029,False,0.243554413318634,6220,3930,6280,0.00640551053995513,9.0302070020698e-05,0.0369621552526951,409.316802978516,6.88637913085937e-05,293821389,362,102857334784.0,622525504.0,23009884.0,56215.33984375,0.7625937424
24,2,632017343,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,293821389,917,186875152.0,4190400.0,0.0,0.0,0.00513324
